Order Date,Region,Category,Sales,Profit
2025-01-15,East,Furniture,450.0,50.0
2025-01-17,West,Technology,1200.0,200.0
2025-01-20,South,Office Supplies,300.0,30.0
2025-02-05,North,Furniture,700.0,70.0
2025-02-10,East,Technology,1500.0,250.0
2025-02-15,West,Office Supplies,400.0,40.0
2025-02-20,South,Furniture,800.0,80.0
2025-03-01,North,Technology,1000.0,180.0
2025-03-05,East,Office Supplies,350.0,35.0
2025-03-10,West,Furniture,900.0,100.0
2025-03-12,South,Technology,1300.0,220.0
2025-03-15,North,Office Supplies,320.0,32.0
2025-03-18,East,Furniture,750.0,75.0
2025-03-20,West,Technology,1100.0,210.0
2025-03-25,South,Office Supplies,280.0,28.0
2025-03-28,North,Furniture,850.0,85.0
2025-03-30,East,Technology,1450.0,240.0
2025-04-01,West,Office Supplies,370.0,37.0
2025-04-05,South,Furniture,950.0,95.0
2025-04-10,North,Technology,1250.0,230.0
